Year,Month,StockCode,Description,CurrentMonthSales,LastYearSameMonthSales,YoY_PercentChange
2011,5,85099B,JUMBO BAG RED RETROSPOT,6585.2,39.0,16785.13
2011,5,85099B,JUMBO BAG RED RETROSPOT,6585.2,2413.2,172.88
2011,5,85099B,JUMBO BAG RED RETROSPOT,6585.2,3755.4,75.35
2011,4,22423,REGENCY CAKESTAND 3 TIER,12721.5,12891.9,-1.32
2011,4,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9581.65,9674.35,-0.96
2011,4,47566,PARTY BUNTING,7278.45,5476.65,32.9
2011,4,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,6610.8,367.2,1700.33
2011,4,22084,PAPER CHAIN KIT EMPIRE,6426.45,759.05,746.64
2011,3,22423,REGENCY CAKESTAND 3 TIER,14797.4,7982.7,85.37
2011,3,85099B,JUMBO BAG RED RETROSPOT,8496.88,5637.45,50.72
2011,3,47566,PARTY BUNTING,6129.15,3423.15,79.05
2011,3,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5262.5,12641.22,-58.37
2011,3,85099F,JUMBO BAG STRAWBERRY,4910.17,2423.7,102.59
2011,2,22423,REGENCY CAKESTAND 3 TIER,9559.65,0.0,0
2011,2,21623,VINTAGE UNION JACK MEMOBOARD,6810.39,9.95,68346.13
2011,2,85099B,JUMBO BAG RED RETROSPOT,5191.05,4670.7,11.14
2011,2,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4912.65,7629.9,-35.61
2011,2,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,3799.11,0.0,0
2011,1,23166,MEDIUM CERAMIC TOP STORAGE JAR,77183.6,0.0,0
2011,1,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14979.75,14286.3,4.85
2011,1,22423,REGENCY CAKESTAND 3 TIER,10765.5,0.0,0
2011,1,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,6840.45,403.2,1596.54
2011,1,79321,CHILLI LIGHTS,5747.57,173.25,3217.5
2010,12,22423,REGENCY CAKESTAND 3 TIER,26092.8,0.0,0
2010,12,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14285.3,16527.76,-13.57
2010,12,21623,VINTAGE UNION JACK MEMOBOARD,13578.48,0.0,0
2010,12,82484,WOOD BLACK BOARD ANT WHITE FINISH,12609.66,0.0,0
2010,12,22189,CREAM HEART CARD HOLDER,10702.27,2761.31,287.58
2010,11,22423,REGENCY CAKESTAND 3 TIER,22257.45,0.0,0
2010,11,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,20569.5,0.0,0
2010,11,85123A,WHITE HANGING HEART T-LIGHT HOLDER,17064.73,0.0,0
2010,11,84879,ASSORTED COLOUR BIRD ORNAMENT,14345.75,0.0,0
2010,11,22086,PAPER CHAIN KIT 50'S CHRISTMAS,13493.25,0.0,0
2010,10,22423,REGENCY CAKESTAND 3 TIER,21460.2,0.0,0
2010,10,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12118.45,0.0,0
2010,10,84879,ASSORTED COLOUR BIRD ORNAMENT,9278.18,0.0,0
2010,10,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,8303.4,0.0,0
2010,10,22086,PAPER CHAIN KIT 50'S CHRISTMAS,7635.65,0.0,0
2010,9,22423,REGENCY CAKESTAND 3 TIER,22460.1,0.0,0
2010,9,85099B,JUMBO BAG RED RETROSPOT,12007.05,0.0,0
2010,9,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11397.65,0.0,0
2010,9,84879,ASSORTED COLOUR BIRD ORNAMENT,6623.53,0.0,0
2010,9,21621,VINTAGE UNION JACK BUNTING,6310.46,0.0,0
2010,8,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12114.65,0.0,0
2010,8,22423,REGENCY CAKESTAND 3 TIER,11015.4,0.0,0
2010,8,84879,ASSORTED COLOUR BIRD ORNAMENT,4953.55,0.0,0
2010,8,21523,DOORMAT FANCY FONT HOME SWEET HOME,4218.76,0.0,0
2010,8,85099F,JUMBO BAG STRAWBERRY,4149.9,0.0,0
2010,7,22423,REGENCY CAKESTAND 3 TIER,16648.2,0.0,0
2010,7,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10239.7,0.0,0
2010,7,84078A,SET/4 WHITE RETRO STORAGE CUBES,7689.05,0.0,0
2010,7,85099B,JUMBO BAG RED RETROSPOT,6227.25,0.0,0
2010,7,84879,ASSORTED COLOUR BIRD ORNAMENT,4880.79,0.0,0
2010,6,22423,REGENCY CAKESTAND 3 TIER,14962.5,0.0,0
2010,6,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11509.35,0.0,0
2010,6,15044A,PINK PAPER PARASOL,9401.25,0.0,0
2010,6,85099B,JUMBO BAG RED RETROSPOT,7423.95,0.0,0
2010,6,21621,VINTAGE UNION JACK BUNTING,5304.0,0.0,0
2010,5,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11737.0,0.0,0
2010,5,47566,PARTY BUNTING,8064.45,0.0,0
2010,5,22423,REGENCY CAKESTAND 3 TIER,5878.8,0.0,0
2010,5,21621,VINTAGE UNION JACK BUNTING,4391.5,0.0,0
2010,5,22606,WOODEN SKITTLES GARDEN SET,4069.85,0.0,0
2010,4,22423,REGENCY CAKESTAND 3 TIER,12891.9,0.0,0
2010,4,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9674.35,0.0,0
2010,4,47566,PARTY BUNTING,5476.65,0.0,0
2010,4,85099B,RED RETROSPOT JUMBO BAG,5438.4,0.0,0
2010,4,48138,DOOR MAT UNION FLAG,4391.48,0.0,0
2010,3,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12641.22,0.0,0
2010,3,22423,REGENCY CAKESTAND 3 TIER,7982.7,0.0,0
2010,3,85099B,JUMBO BAG RED WHITE SPOTTY,5637.45,0.0,0
2010,3,84879,ASSORTED COLOUR BIRD ORNAMENT,4952.61,0.0,0
2010,3,48138,DOOR MAT UNION FLAG,4113.75,0.0,0
2010,2,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7629.9,0.0,0
2010,2,85220,SMALL FAIRY CAKE FRIDGE MAGNETS,6467.6,0.0,0
2010,2,20685,DOOR MAT RED SPOT,5518.53,0.0,0
2010,2,85099B,JUMBO BAG RED WHITE SPOTTY,4670.7,0.0,0
2010,2,21524,DOOR MAT SPOTTY HOME SWEET HOME,3729.94,0.0,0
2010,1,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14286.3,0.0,0
2010,1,85099B,JUMBO BAG RED WHITE SPOTTY,6064.95,0.0,0
2010,1,48138,DOOR MAT UNION FLAG,4803.4,0.0,0
2010,1,20679,EDWARDIAN PARASOL RED,4568.95,0.0,0
2010,1,15056BL,EDWARDIAN PARASOL BLACK,4426.65,0.0,0
2009,12,85123A,WHITE HANGING HEART T-LIGHT HOLDER,16527.76,0.0,0
2009,12,15056BL,EDWARDIAN PARASOL BLACK,8674.4,0.0,0
2009,12,22086,PAPER CHAIN KIT 50'S CHRISTMAS,7567.1,0.0,0
2009,12,84879,ASSORTED COLOUR BIRD ORNAMENT,7271.89,0.0,0
2009,12,22111,SCOTTIE DOG HOT WATER BOTTLE,6600.75,0.0,0
